id,token
20,//
21,ii
8,a
11,c
10,cout
16,ntm
1,i
5,cin
3,j
15,EMPTY_TOKEN
4,any
2,int
6,n
14,pause
7,0
18,pospos
9,whiteq
13,system
19,//__
22,whiteblack
12,endl
17,//_
