id,path
7593,20 11 21 22 33 57 9 4
24444,20 74 43 11 47 21 22 18 19
16496,7 8 41 39 53 32 33 22 12 40 9 4
24761,7 8 58 47 48 22 33 31 29 69 9 4
25680,1 8 41 43 17 18 44 9 4
7821,1 8 50 21 47 21 22 12 9 4
17034,7 8 41 39 53 32 33 22 12 40 9 10
10578,20 43 28 30 32 33 34 61 19
24443,20 74 43 11 47 21 22 18 10
7820,1 8 50 21 47 21 22 12 9 10
12302,1 8 91 92 22 18 10
8516,1 17 18 52 44 9 10
21918,1 17 18 52 44 9 4
12626,1 8 39 37 32 33 22 62
2453,20 41 17 41 42 42 18 10
2751,7 8 43 43 80 11 21 47 21 22 55 9 10
4963,1 8 17 21 32 21 26 70 71 27 10
20505,7 8 17 73 32 33 34 61 42 18 10
583,1 8 74 75 42 9 10
10993,1 8 39 37 32 33 22 45
6444,20 28 32 47 21 22 61 19
21906,1 8 56 30 31 31 38 40 9 10
10907,7 8 28 29 40 9 4
4074,7 8 28 29 40 9 10
8379,1 8 17 74 98 51 52 75 19
10825,20 114 74 41 43 73 21 26 70 71 27 72 4
18464,1 8 51 43 44 44 75 9 4
21905,1 8 56 30 31 31 38 40 9 4
2121,7 8 41 17 43 73 32 33 34 61 18 10
12964,1 8 11 21 32 33 34 22 12 40 9 10
13114,20 41 11 21 22 33 31 36 9 10
26845,1 8 43 11 21 88 32 21 112 113 110 38 9 10
17938,20 43 35 114 115 40 9 10
19172,1 8 11 21 47 21 22 48 12 9 4
5577,1 8 11 21 47 21 22 48 12 9 10
12549,1 8 39 17 56 32 33 12 9 4
17939,20 43 35 114 115 40 9 4
24258,1 8 39 17 56 32 33 12 9 10
26846,1 8 43 11 21 88 32 21 112 113 110 38 9 4
15773,1 8 17 74 43 11 21 47 21 22 61 9 10
22456,1 8 37 47 48 22 49 9 4
8259,1 8 37 47 48 22 49 9 10
13113,20 41 11 21 22 33 31 36 9 4
18096,1 2 26 27 22 24 128 9 10
6237,20 79 28 32 33 12 40 9 10
23844,20 51 41 11 47 48 54 9 4
444,20 17 18 59 67 9 10
4663,20 68 39 17 18 40 9 4
6236,20 79 28 32 33 12 40 9 4
443,20 17 18 59 67 9 4
16155,7 8 43 11 21 22 33 36 44 40 9 10
24895,7 8 41 39 43 44 42 40 40 9 10
651,1 8 53 30 31 57 9 10
4398,7 8 28 103 32 33 12 81 9 4
11385,1 8 80 11 21 22 92 9 4
12654,20 43 41 43 11 88 32 21 22 18 19
8430,20 41 17 41 74 75 19
5665,7 8 66 11 12 59 40 9 10
4187,1 8 53 30 31 57 9 4
4664,20 68 39 17 18 40 9 10
11386,1 8 80 11 21 22 92 9 10
12653,20 43 41 43 11 88 32 21 22 18 10
23739,1 84 85 70 71 86 10
13571,7 8 39 43 43 17 21 22 61 19
5666,7 8 66 11 12 59 40 9 4
9327,20 17 32 21 22 33 31 57 75 19
23652,7 8 43 39 39 11 12 19
25077,1 8 39 28 103 32 33 12 40 9 4
23703,1 8 43 11 88 32 21 22 12 9 10
3621,20 73 32 33 34 61 75 18 42 9 4
23702,1 8 43 11 88 32 21 22 12 9 4
4542,1 8 41 74 75 9 4
14816,7 8 11 47 48 14 9 4
22964,1 8 41 53 32 33 22 12 40 9 4
22291,1 17 88 32 21 22 61
18456,1 17 88 32 21 22 62
6710,1 8 50 47 48 22 33 29 42 9 4
13584,1 8 11 12 18 44 18 10
6073,1 8 41 53 32 33 22 12 40 9 10
2562,20 73 32 33 34 61 75 18 42 9 10
18387,1 8 51 11 21 112 113 54 9 4
26695,1 8 58 21 23 21 22 24 36 9 4
10518,7 8 41 41 51 52 42 9 10
11704,7 8 37 30 32 33 22 18 19
24249,83 21 32 21 22 33 104 38 9 10
7308,1 8 28 30 31 57 9 4
10519,7 8 41 41 51 52 42 9 4
11703,7 8 37 30 32 33 22 18 10
20696,1 8 43 56 57 19
27050,1 8 53 32 21 26 70 71 27 72 4
4145,1 8 41 74 75 9 10
14299,7 8 39 11 21 32 21 47 21 22 48 12 9 10
14585,20 17 17 21 22 61 19
16441,7 8 39 39 11 21 22 12 40 40 9 10
18181,7 8 11 47 48 14 9 10
2949,7 8 53 32 33 22 12 9 4
19087,7 8 39 11 21 32 21 47 21 22 48 12 9 4
861,7 8 53 32 33 22 12 9 10
5602,65 32 21 47 21 32 21 22 22 78 9 4
6425,1 8 39 17 13 14 19
6773,7 8 41 74 74 74 17 11 21 22 61 9 10
15987,65 32 21 47 21 32 21 22 22 78 9 10
4131,20 11 21 32 21 22 33 38 57 9 4
24420,1 8 11 21 32 21 47 21 22 61 18 40 9 10
4868,7 8 74 37 32 33 18 19
7655,1 8 39 37 32 33 18 10
6772,7 8 41 74 74 74 17 11 21 22 61 9 4
13003,20 11 32 21 22 33 31 54 67 40 9 4
8600,20 17 21 32 21 22 48 12 9 10
16438,7 8 39 39 11 21 22 12 40 40 9 4
4867,7 8 74 37 32 33 18 10
9399,20 11 21 22 82
25738,1 8 28 103 104 29 42 9 4
17412,1 8 41 74 28 29 42 9 4
1880,20 17 21 32 21 22 48 12 9 4
13810,1 8 11 21 32 21 47 21 22 61 18 40 9 4
2936,20 43 11 21 23 21 22 12 9 4
23232,20 11 21 22 61
930,20 11 21 22 62
21127,1 8 39 43 44 75 42 40 9 4
14868,7 8 51 53 47 48 102 9 4
15536,20 43 44 44 75 42 9 10
15832,7 8 58 47 48 33 31 29 69 9 10
15946,7 8 43 17 21 22 33 36 81 44 9 4
2935,20 43 11 21 23 21 22 12 9 10
6337,20 51 11 21 47 21 22 12 9 4
11123,20 43 44 44 75 42 9 4
24248,83 21 32 21 22 33 104 38 9 4
20295,7 8 41 56 23 24 22 12 9 10
3753,20 11 21 32 21 22 33 38 57 9 10
5756,20 74 56 57 38 9 10
1515,1 8 41 42 44 9 4
5757,20 74 56 57 38 9 4
13004,20 11 32 21 22 33 31 54 67 40 9 10
17881,1 8 35 32 33 61
6336,20 51 11 21 47 21 22 12 9 10
14313,1 8 35 32 33 62
15947,7 8 43 17 21 22 33 36 81 44 9 10
26014,1 8 74 11 21 22 102 9 10
8790,20 35 23 24 22 6 4
1516,1 8 41 42 44 9 10
1580,1 8 74 11 21 22 24 54 9 4
23546,1 8 74 11 21 22 102 9 4
3130,1 8 43 11 21 22 33 38 9 10
11000,1 8 74 11 21 22 24 54 9 10
12407,1 8 43 11 21 22 33 38 9 4
6711,1 8 50 47 48 22 33 29 42 9 10
8789,20 35 23 24 22 6 10
15316,7 8 80 17 21 22 48 12 9 4
15944,1 8 106 74 17 98 11 28 29 9 10
16421,1 8 39 39 13 14 19
17788,1 8 37 38 42 19
23109,7 8 66 74 43 44 44 75 19
23988,1 8 39 60 17 21 22 33 29 42 40 9 4
634,7 5 21 22 48 12 9 10
21674,1 8 28 103 104 29 42 9 10
13728,1 8 41 74 28 29 42 9 10
931,20 11 21 22 90
2524,1 8 106 74 17 98 11 28 29 9 4
18084,1 8 101 47 48 22 78 9 10
528,7 5 21 22 48 12 9 4
20961,1 8 122 47 48 22 33 38 67 40 9 4
20962,1 8 122 47 48 22 33 38 67 40 9 10
20369,7 8 37 32 33 22 24 31 57 9 10
3784,20 73 32 33 34 61 19
21145,7 8 77 78 44 52 9 4
12986,7 8 77 78 44 52 9 10
8168,1 8 43 80 11 21 22 12 81 44 9 10
18460,7 8 41 39 11 12 40 40 9 4
9304,20 13 30 32 33 22 33 29 9 4
9305,20 13 30 32 33 22 33 29 9 10
8169,1 8 43 80 11 21 22 12 81 44 9 4
22758,1 8 60 17 13 30 31 14 9 10
733,20 43 51 52 19
22322,1 8 43 53 47 48 55 9 4
22759,1 8 60 17 13 30 31 14 9 4
1501,20 39 39 40 19
21588,7 8 17 11 21 32 21 47 21 22 33 29 40 9 4
12753,20 17 18 99 9 4
14130,7 8 39 17 21 22 33 38 9 10
8323,20 73 21 32 21 22 33 38 40 9 4
13109,20 17 18 99 9 10
14131,7 8 39 17 21 22 33 38 9 4
7388,1 8 80 17 28 29 19
12877,7 8 66 17 11 21 22 33 104 14 9 10
10788,7 8 37 32 33 22 24 31 57 9 4
22639,7 8 66 17 37 38 19
15603,7 8 66 17 11 21 22 33 104 14 9 4
17635,1 2 26 27 22 61 42 67 81 99 100
8324,20 73 21 32 21 22 33 38 40 9 10
9821,20 41 37 23 24 22 33 38 16 44 9 10
26711,1 8 74 43 44 75 52 19
5296,1 8 37 23 24 22 33 14 40 9 10
9820,20 41 37 23 24 22 33 38 16 44 9 4
14596,7 8 43 41 53 32 33 18 10
12527,20 17 18 18 42 9 4
26319,1 8 50 39 11 12 18 40 9 10
6746,1 8 37 23 24 22 33 14 40 9 4
12228,20 17 18 18 42 9 10
16520,1 8 13 32 33 22 6 10
9186,7 8 66 60 17 21 22 12 67 40 9 4
3229,20 28 103 32 33 34 22 61 44 18 10
19243,1 8 13 32 33 22 6 4
9489,1 8 50 39 11 12 18 40 9 4
9187,7 8 66 60 17 21 22 12 67 40 9 10
20564,7 8 66 17 11 21 22 33 29 67 40 9 4
12046,1 8 50 21 112 113 104 54 52 18 10
26071,1 8 39 53 23 24 22 49 9 4
1022,7 8 39 28 32 33 12 40 9 10
20565,7 8 66 17 11 21 22 33 29 67 40 9 10
21681,1 8 66 56 32 33 61 76 19
17744,1 8 17 32 33 22 12 9 10
16665,1 8 43 80 13 23 24 22 33 14 81 44 9 4
2612,20 35 23 24 22 18 10
22060,1 8 43 80 13 23 24 22 33 14 81 44 9 10
18776,20 51 41 53 30 31 57 9 4
2962,1 8 80 28 29 9 4
14661,20 51 11 21 22 33 29 75 42 9 10
3676,20 51 74 11 21 22 12 9 4
2961,1 8 80 28 29 9 10
15325,1 8 41 74 75 18 10
3677,20 51 74 11 21 22 12 9 10
18777,20 51 41 53 30 31 57 9 10
13343,7 8 41 73 21 26 70 71 27 72 4
14662,20 51 11 21 22 33 29 75 42 9 4
482,1 8 11 12 69 9 10
